rikishi1,odds1,rikishi2,odds2,ts
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 06:35:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 06:40:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 06:40:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 06:40:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 06:40:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 06:45:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 06:45:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 06:45:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 06:45:03
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 06:45:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 06:50:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 06:50:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 06:50:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 06:50:02
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 06:50:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 06:55:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 06:55:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 06:55:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 06:55:02
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 06:55:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:00:04
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:00:04
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:00:04
Shodai,1.99,Ura,1.82,2017-09-09 07:00:04
Tamawashi,1.81,Shohozan,2,2017-09-09 07:00:04
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:00:04
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:00:04
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:05:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:05:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:05:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:05:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:05:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:05:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:05:02
Shodai,1.99,Ura,1.82,2017-09-09 07:05:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:05:02
Tamawashi,1.81,Shohozan,2,2017-09-09 07:05:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:05:02
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:05:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:10:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:10:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:10:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:10:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:10:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:10:03
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:10:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:10:03
Shodai,1.79,Ura,2.02,2017-09-09 07:10:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:10:03
Tamawashi,1.81,Shohozan,2,2017-09-09 07:10:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:10:03
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:10:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:15:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:15:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:15:03
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:15:03
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:15:03
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:15:03
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:15:03
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:15:03
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:15:03
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:15:03
Shodai,1.79,Ura,2.02,2017-09-09 07:15:03
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:15:03
Tamawashi,1.81,Shohozan,2,2017-09-09 07:15:03
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:15:03
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:15:03
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:20:02
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:20:02
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:20:02
Goeido,1.63,Kotoshogiku,2.28,2017-09-09 07:20:02
Harumafuji,1.38,Tochiozan,3.05,2017-09-09 07:20:02
Ichinojo,2.12,Takakeisho,1.72,2017-09-09 07:20:02
Ikioi,1.72,Chiyoshoma,2.12,2017-09-09 07:20:02
Ishiura,1.9,Arawashi,1.9,2017-09-09 07:20:02
Kaisei,1.7,Nishikigi,2.15,2017-09-09 07:20:02
Mitakeumi,1.35,Onosho,3.2,2017-09-09 07:20:02
Okinoumi,2.31,Endo,1.61538461538462,2017-09-09 07:20:02
Shodai,1.79,Ura,2.02,2017-09-09 07:20:02
Takarafuji,2.01,Takanoiwa,1.8,2017-09-09 07:20:02
Tamawashi,1.81,Shohozan,2,2017-09-09 07:20:02
Terunofuji,1.63,Hokutofuji,2.28,2017-09-09 07:20:02
Tokushoryu,1.76,Yutakayama,2.06,2017-09-09 07:20:02
Yoshikaze,1.66,Chiyotairyu,2.22,2017-09-09 07:20:02
Chiyonokuni,2.12,Kagayaki,1.72,2017-09-09 07:25:03
Daieisho,2.06,Takekaze,1.76,2017-09-09 07:25:03
Daishomaru,1.74,Chiyomaru,2.09,2017-09-09 07:25:03
