Goeido,1.5,Takakeisho,2.59,2017-11-10 09:25:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 09:25:03
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 09:25:03
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 09:25:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 09:30:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 09:30:02
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 09:30:02
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 09:30:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 09:30:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 09:35:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 09:35:03
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 09:35:03
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 09:35:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 09:35:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 09:40:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 09:40:03
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 09:40:03
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 09:40:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 09:40:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 09:45:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 09:45:03
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 09:45:03
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 09:45:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 09:45:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 09:50:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 09:50:02
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 09:50:02
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 09:50:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 09:50:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 09:55:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 09:55:03
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 09:55:03
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 09:55:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 09:55:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:00:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:00:03
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 10:00:03
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 10:00:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:00:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:05:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:05:02
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 10:05:02
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 10:05:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:05:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:10:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:10:03
Harumafuji,1.61538461538462,Onosho,2.31,2017-11-10 10:10:03
Kisenosato,1.2,Tamawashi,4.55,2017-11-10 10:10:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:10:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:15:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:15:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:15:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:15:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:15:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:20:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:20:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:20:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:20:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:20:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:25:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:25:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:25:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:25:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:25:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:30:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:30:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:30:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:30:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:30:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:35:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:35:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:35:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:35:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:35:02
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:40:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:40:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:40:03
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:40:03
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:40:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:45:02
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:45:02
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:45:02
Kisenosato,1.45,Tamawashi,2.76,2017-11-10 10:45:02
Takayasu,1.55,Chiyotairyu,2.45,2017-11-10 10:45:02
Daieisho,1.68,Kaisei,2.19,2017-11-10 10:50:03
Goeido,1.5,Takakeisho,2.59,2017-11-10 10:50:03
Hakuho,1.15,Kotoshogiku,5.5,2017-11-10 10:50:03
Harumafuji,1.5,Onosho,2.59,2017-11-10 10:50:03
